web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616724826-1978,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=43,B2798 - Adolescent diet and cardiometabolic health - 19/06/2017,https://proposals.epi.bristol.ac.uk/?q=node/127561,B2798 - Adolescent diet and cardiometabolic health - 19/06/2017,B2798,Charlotte Evans | University of Leeds (UK),"Miss Ziyi Li, Mrs Catherine Rycroft",Adolescent diet and cardiometabolic health,"Worldwide the number of children and adolescents with risk factors for cardiovascular disease such as obesity and high blood pressure is increasing.  Prevention strategies to reduce blood pressure and obesity are a national and international public health priority.

The relationships between diet and obesity and cardiovascular risk factors such as high blood pressure have been studied in adult populations but there are fewer corresponding studies in adolescents.

This project aims to

•	Explore the relationships between diet, body size and adiposity, blood pressure and biomarkers for cardiovascular health (such as serum lipids and serum tocopherols) in UK adolescents from the ALSPAC cohort.

•	Determine aspects of diet that increase children’s and adolescents’ likelihood of future obesity and high blood pressure.

•	Develop a dietary based risk tool to identify groups of young people at high risk of future obesity during their teenage years.",null,"Monday, 28 November, 2016","Monday, 28 November, 2016","Epidemiology, Hypertension, Obesity, Computer simulations/modelling/algorithms, Statistical methods, Biomarkers - e.g. cotinine, fatty acids, haemoglobin, etc., Blood pressure, BMI, Cardiovascular, Childhood - childcare, childhood adversity, Nutrition - breast feeding, diet, Adolescence, Obesity"
1616720363-190,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=132,B135 - NAC Fellowship - 01/11/2003,https://proposals.epi.bristol.ac.uk/?q=node/127227,B135 - NAC Fellowship - 01/11/2003,B135,"Prof Miriam  Moffatt (Imperial College London, UK)",,NAC Fellowship.,(No outline received).,null,"Saturday, 1 November, 2003","Saturday, 1 November, 2003","Allergies, Genetics, Respiratory, Atopy"
1616723596-1501,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=67,B2208 - Biobehavioural pathways to adolescent substance use - investigations using genetically-informed data from ALSPAC - 20/03/2014,https://proposals.epi.bristol.ac.uk/?q=node/125897,B2208 - Biobehavioural pathways to adolescent substance use - investigations using genetically-informed data from ALSPAC - 20/03/2014,B2208,"Dr Kristine  Marceau (Rhode Island Hospital, USA)","Dr Valerie  Knopik (Rhode Island Hospital, USA)",Biobehavioural pathways to adolescent substance use - investigations using genetically-informed data from ALSPAC.,"Aim 1: Biobehavioral pathways of development: Test biological-environmental pathways for adolescent substance use. Hypotheses are that (1) increased prenatal risk and earlier pubertal timing will partially mediate genetic influences on internalizing and externalizing problems and subsequent substance use, and (2) earlier pubertal timing will partially mediate parenting influences on internalizing and externalizing problems and subsequent substance use.",null,"Tuesday, 18 March, 2014","Thursday, 20 March, 2014",Behavioural Problems
1616723094-1306,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=77,B1533 - FLG genotyping in ALSPAC children - 14/03/2013,https://proposals.epi.bristol.ac.uk/?q=node/126104,B1533 - FLG genotyping in ALSPAC children - 14/03/2013,B1533,"Dr Lavinia  Paternoster (University of Bristol, UK)",,FLG genotyping in ALSPAC children.,Proposal submitted to the MRC centenary award (presided over by George Davey Smith):,null,"Thursday, 14 March, 2013","Thursday, 14 March, 2013",Genes
1616724838-1982,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=42,B2789 - Replication of var meQTLs - 19/12/2016,https://proposals.epi.bristol.ac.uk/?q=node/127566,B2789 - Replication of var meQTLs - 19/12/2016,B2789,"Juan E. Castillo-Fernandez | Department of Twin Research, King's College London (UK)","Gibran Hemani, Mr. Juan E. Castillo-Fernandez",Replication of var meQTLs,"Quantitative trait loci (QTLs) studies have been successful identifying regions of the genome associated with inter-individual differences in DNA methylation. A common approach to explore the impact of genetic variants on DNA methylation is based on assessing differences in the mean methylation levels. However,  QTLs may also contribute to the amount of variability of epigenetic marks (var QTLs). We identified var QTLs for DNA methylation in whole-blood using MZ twins-discordance as a measure of variability and are interested in the replication of these var meQTLs in an independent cohort.",null,"Thursday, 17 November, 2016","Thursday, 1 December, 2016","Genetics, Genetics - e.g. epigenetics, mendelian randomisation, UK10K, sequencing, etc."
1616724210-1741,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=55,B2503 - Mapping Parental Anxiety Trajectories Impact on Child,https://proposals.epi.bristol.ac.uk/?q=node/127812,B2503 - Mapping Parental Anxiety Trajectories Impact on Child,B2503,Heather O'Mahen | University of Exeter (UK),"Dr. Catherine Gallop, Matt Owens-Solari, Dr. Paul Ramchandani, Dr. Jonathan Evans, Dr. Rebecca Pearson, Dr. Sarah Halligan",Mapping Parental Anxiety Trajectories: Impact on Child,"There has a great deal of research that has shown that maternal depression has a long-term effect on the child. Longitudinal studies have also shown that maternal anxiety can affect the child, including recent studies from ALSPAC that have shown that maternal anxiety during pregnancy can have a long term effect on the child.",null,"Monday, 20 July, 2015","Friday, 31 July, 2015","Mental health - Psychology, Psychiatry, Cognition, Statistical methods, Childhood - childcare, childhood adversity, Mothers- maternal age, menopause, obstetrics, Parenting, Psychology - personality, Anxiety"
1616722182-955,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=96,B1095 - Epidemiological studies of human transgenerational responses TGR to paternal and ancestral exposures - 12/01/2011,https://proposals.epi.bristol.ac.uk/?q=node/126471,B1095 - Epidemiological studies of human transgenerational responses TGR to paternal and ancestral exposures - 12/01/2011,B1095,"Prof Jean  Golding (University of Bristol, UK)","Prof Marcus  Pembrey (University of Bristol, UK), Dr Kate  Northstone (University of Bristol, UK), Prof George  Davey Smith (University of Bristol, UK), Prof Lars Olov Bygren (Ume? University, Europe)",Epidemiological studies of human transgenerational responses (TGR) to paternal and ancestral exposures.,"Biological inheritance from one generation to the next is generally regarded as transmission of genes and other DNA variation from both parents, plus 'maternal effects' either carried within the egg cytoplasm or through the trans-placental passage of nutrients and metabolic signals. Biological inheritance is supplemented by 'cultural inheritance' (including nurturing behaviour and social patterning) from which it needs to be distinguished.",null,"Wednesday, 12 January, 2011","Wednesday, 12 January, 2011",Epigenetics
1616725664-2308,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=26,B3181 - Exposure to Gestational Diabetes and Blood Pressure Trajectories in Offspring - 25/09/2018,https://proposals.epi.bristol.ac.uk/?q=node/129791,B3181 - Exposure to Gestational Diabetes and Blood Pressure Trajectories in Offspring - 25/09/2018,B3181,Jonathan McGavock | University of Manitoba (Canada),"Allison Dart, MD , Meghan Azad PhD",Exposure to Gestational Diabetes and Blood Pressure Trajectories in Offspring,"The health of pregnant mothers can influence the health of her offspring across their entire lifespan. In high income countries, as many as 1 of every 10 mothers experiences diabetes during pregnancy. The impact of exposure to diabetes during pregnancy on the heart health of offspring is poorly understood. We recently found that individuals exposed to diabetes in the womb were 2-3 times more likely to develop high blood pressure and heart disease in their teens and early 20s, compared to individuals not exposed to diabetes in the womb. We want to determine if this is something we can detect in childhood or adolescence and possible reasons why maternal diabetes could predispose children and adolescents to high blood pressure and heart disease later in life.",Provide robust estimates and causal inference for the association between maternal glycemia during pregnancy and the risk for heart disease among offspring early in life.,"Friday, 21 September, 2018","Tuesday, 25 September, 2018","Epidemiology, Diabetes, Statistical methods, Blood pressure, Cohort studies - attrition, bias, participant engagement, ethics, Metabolic - metabolism, Offspring, Sex differences"
1616724078-1689,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=57,B2429 - The fetal childhood and adolescent effects of prenatal exposure to caffeine - 23/04/2015,https://proposals.epi.bristol.ac.uk/?q=node/125708,B2429 - The fetal childhood and adolescent effects of prenatal exposure to caffeine - 23/04/2015,B2429,"Prof Jean  Golding (University of Bristol, UK)",,"The fetal, childhood and adolescent effects of prenatal exposure to caffeine",,null,"Wednesday, 22 April, 2015","Thursday, 23 April, 2015","Birth Outcomes, Environmental Exposure"
1616720164-110,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=136,B40 - Exposure to air pollution and respiratory illness in young children - 01/11/2001,https://proposals.epi.bristol.ac.uk/?q=node/127300,B40 - Exposure to air pollution and respiratory illness in young children - 01/11/2001,B40,"Prof Paul  Elliott (Imperial College London, UK)",,Exposure to air pollution and respiratory illness in young children.,(No outline received).,null,"Thursday, 1 November, 2001","Thursday, 1 November, 2001","Allergies, Environmental Exposure, Respiratory, Atopy"
